;Abos;Vues;AgeJ;Videos;IncF;FC
AK1;12288;2394779;893;140;0;1
Albert;90362;1580676;536;12;0;0
Alexis_Rastier;1245;29292;2007;23;0;0
AnthroStory;2912;144722;1137;89;0;0
Ascl_pios;12892;245828;409;11;0;1
Axolot;456877;13506876;1539;22;0;1
Balade_Mentale;40037;1847009;698;82;0;1
Alice_au_pays_des_étoiles;310;5123;402;8;1;1
BasicDev;383;12872;963;19;0;0
BioLogique;26293;1115347;969;22;0;1
BioloGeek;4680;64254;566;12;0;1
Biosfear;416;8174;956;16;0;1
Biologie_Tout_Compris;5331;79131;753;30;1;1
Boiling_Brains;4155;232318;1078;32;0;1
Castor_Mother;37643;1171248;937;51;1;1
C_est_une_autre_histoire;77986;2045244;792;47;1;1
Choux_romanesco;25665;982878;1068;24;0;0
Climen;24083;509320;1079;22;0;1
Cygnification;5081;53540;1064;9;0;1
Curieux_2_savoir;57;6278;1078;11;0;1
Dans_ton_corps;390463;24414157;503;72;0;1
Deus_ex_silicium;20940;932172;1082;61;0;0
Dimension;61048;1319325;815;25;0;0
AstronoGeek;89378;3094237;693;27;0;1
Dirtybiology;485255;24112253;1287;50;0;1
DrNozman;1816311;209501652;2283;214;0;1
Droupix;505;16758;1394;10;0;1
E-penser;905076;67071365;1462;95;0;1
ExperimentBoy;631122;49550375;1780;119;0;1
FeezHic;1467;31063;694;38;0;1
Florence_Porcel;52670;2590263;2052;149;1;1
M_Gigantoraptor;32721;1823137;1568;167;0;1
Goana;465;12510;563;8;0;1
Heu_Reka;60470;1632981;679;36;0;1
Hygiène_mentale;145397;4055326;1132;30;0;0
In_vivo_veritas;97;889;833;4;1;1
Incroyables_expériences;274756;32121498;3036;91;0;1
L_envers_de_la_blouse;1494;31299;521;18;0;1
L_esprit_sorcier;15862;497199;832;147;0;1
Langues_de_Cha;15968;223391;921;12;1;1
La_main_baladeuse;3034;97743;548;26;0;0
La_minute_science;119081;5285894;1072;56;0;0
La_minute_scientifique;3631;86188;1072;15;0;0
La_philo_en_petits_morceaux;1632;87481;2363;9;0;0
La_science_dans_la_fiction;2660;71789;1009;36;0;0
La_science_des_jeux_Okita;18412;18408;1077;57;0;0
La_tronche_en_biais;67748;3666959;1020;120;0;1
Lanterne_cosmique;41382;1296053;1050;19;0;1
Le_comptoir_du_futur;2757;65541;945;21;0;0
Le_projet_Lutetium;8350;142156;907;9;0;1
Le_labo_cube;5047;87962;1057;56;0;1
Le_PsyLab;91444;2385691;1278;52;0;1
Le_Sense_of_Wonder;66902;692192;830;6;0;1
Le_reveilleur;9045;215685;880;35;0;1
Le_saviez_vous;942;36554;936;25;0;1
Les_Revues_du_Monde;271154;7847338;1132;32;1;1
Les_contes_des_1001_terres;84;1824;737;7;0;1
Les_Freres_Poulain;8764;135405;1018;24;0;1
Macroscopie;2261;26360;519;13;1;1
Linguisticae;153644;6570513;981;103;0;1
Maths_un_peu_ça;198;2207;36;6;0;1
Math_magique;1534;18176;410;8;0;1
Matière_Grise;14823;290412;1044;33;0;1
Mic_Maths;247753;16201277;2180;133;0;1
Molécules;1058;11202;466;12;1;1
Myceliums;11028;198312;914;14;0;1
Passe_Science;22009;509936;825;25;0;1
Pharma_Silica;1657;86423;524;22;0;0
Plenituz;2541;30460;476;14;0;1
Point_Sécu;2517;44126;552;23;0;1
Politikon;7692;159975;524;27;0;1
Primum_Non_Nocere;51226;966638;1099;29;0;1
Professeur_Sims;8484;250317;1491;55;0;1
PsykoCouac;4389;120801;1036;33;0;1
Psynect;11634;124242;933;9;0;1
Scicos;3534;34360;648;25;0;1
Science_de_comptoir;2584;66985;667;14;1;1
Science_clic;49535;988694;1012;29;0;0
Science4All;95996;3473673;564;109;0;1
Science_étonnante;330134;16466239;959;59;0;1
Sciencia_huasca;3017;22518;336;6;0;1
Science_is_magic;192;28245;1345;17;0;1
Sciences_Mag;2178;1017501;1986;102;0;0
Scientifiste;3551;46319;801;8;0;1
Scilabus;80858;2558418;1446;69;1;1
Simplex_Paleo;3096;85397;1046;24;0;1
Stardust;50925;2542664;592;162;0;0
SSAFT;11164;88943;869;7;0;0
Stop_Science;8561;818823;1685;117;0;0
String_Theory;92569;4181258;514;75;0;1
Stupid_Economics;68389;1608493;800;33;0;1
This_is_science;1014;19768;963;22;0;1
Un_peu_pointu;6888;56246;454;8;1;1
U_RI;23928;1301416;965;46;0;1
We_are_science;1224;14023;667;11;0;1
Xil_Cast;2334;45546;1173;16;0;1
Corpscience_William_Buch;1432;102023;679;14;0;1
Cédrik_Jurrasik;31633;1407352;553;53;0;1
Passé_Sauvage;24562;201866;736;20;1;1
Professeur_Culture_Précieuse;1655;63553;1186;39;0;1
Les_patates_douces;226;2141;518;3;1;1
Connecsciences;523;9019;444;5;0;1
Homo_Sapiens;252;7594;793;20;0;1
Et_comment;252;252;538;24;0;1
Vidé_Bio;27;1155;690;11;0;1
Cosmogonia;54;895;380;9;0;1
Flech_Computers;2545;25512;345;11;0;0
MrWibou;360;5744;332;7;0;1
Cryart;27025;322724;498;43;0;0
Elles_comme_linguistes;807;20999;413;28;1;1
Lyokoi_Kun;266;9668;789;22;0;1
D_où_ça_vient;39047;349550;690;25;0;0
Why_Doc;524;16152;317;11;0;1
PaleoWorld;1544;34844;488;31;0;1
Neuropsy_Chovlog;551;11557;510;12;0;1
